inventory_id,product_id,warehouse_id,stock_on_hand,last_updated
1,138,8,61,2026-01-15
2,188,9,511,2026-01-15
3,390,3,295,2026-01-15
4,239,6,152,2026-01-15
5,65,10,15,2026-01-15
6,247,5,479,2026-01-15
7,411,5,291,2026-01-15
8,236,8,40,2026-01-15
9,499,1,238,2026-01-15
10,279,2,202,2026-01-15
11,385,5,911,2026-01-15
12,90,6,419,2026-01-15
13,344,5,154,2026-01-15
14,279,1,330,2026-01-15
15,366,5,538,2026-01-15
16,185,3,806,2026-01-15
17,27,6,981,2026-01-15
18,212,5,754,2026-01-15
19,239,5,509,2026-01-15
20,477,2,182,2026-01-15
21,409,5,899,2026-01-15
22,346,3,141,2026-01-15
23,406,2,368,2026-01-15
24,339,5,350,2026-01-15
25,92,3,986,2026-01-15
26,489,1,398,2026-01-15
27,210,6,90,2026-01-15
28,109,4,617,2026-01-15
29,103,6,299,2026-01-15
30,75,4,929,2026-01-15
31,42,9,107,2026-01-15
32,70,3,392,2026-01-15
33,46,8,712,2026-01-15
34,86,8,89,2026-01-15
35,297,7,769,2026-01-15
36,148,1,714,2026-01-15
37,306,8,46,2026-01-15
38,285,8,198,2026-01-15
39,390,5,945,2026-01-15
40,132,5,747,2026-01-15
41,300,9,205,2026-01-15
42,499,8,317,2026-01-15
43,38,3,927,2026-01-15
44,237,4,614,2026-01-15
45,338,8,362,2026-01-15
46,80,6,390,2026-01-15
47,142,6,176,2026-01-15
48,277,5,429,2026-01-15
49,37,8,299,2026-01-15
50,53,5,342,2026-01-15
51,38,3,316,2026-01-15
52,23,5,416,2026-01-15
53,332,4,699,2026-01-15
54,297,10,323,2026-01-15
55,397,9,724,2026-01-15
56,405,2,158,2026-01-15
57,269,4,189,2026-01-15
58,354,2,121,2026-01-15
59,372,7,763,2026-01-15
60,319,4,418,2026-01-15
61,86,2,38,2026-01-15
62,219,3,609,2026-01-15
63,424,3,349,2026-01-15
64,449,2,391,2026-01-15
65,237,2,406,2026-01-15
66,335,2,828,2026-01-15
67,215,5,1000,2026-01-15
68,308,8,296,2026-01-15
69,131,8,199,2026-01-15
70,242,6,2,2026-01-15
71,278,1,549,2026-01-15
72,383,9,705,2026-01-15
73,60,5,16,2026-01-15
74,9,10,544,2026-01-15
75,326,3,830,2026-01-15
76,117,5,587,2026-01-15
77,318,9,357,2026-01-15
78,316,10,465,2026-01-15
79,20,10,671,2026-01-15
80,297,5,987,2026-01-15
81,481,8,434,2026-01-15
82,2,9,459,2026-01-15
83,367,5,214,2026-01-15
84,406,10,454,2026-01-15
85,430,2,572,2026-01-15
86,7,8,958,2026-01-15
87,252,6,61,2026-01-15
88,97,10,77,2026-01-15
89,98,8,13,2026-01-15
90,18,6,322,2026-01-15
91,191,8,563,2026-01-15
92,411,5,225,2026-01-15
93,370,10,747,2026-01-15
94,130,4,389,2026-01-15
95,301,8,694,2026-01-15
96,348,2,974,2026-01-15
97,99,3,520,2026-01-15
98,406,6,753,2026-01-15
99,200,2,610,2026-01-15
100,198,10,350,2026-01-15
101,137,4,843,2026-01-15
102,91,5,932,2026-01-15
103,193,9,183,2026-01-15
104,246,1,767,2026-01-15
105,418,6,992,2026-01-15
106,456,10,540,2026-01-15
107,244,8,13,2026-01-15
108,498,10,770,2026-01-15
109,220,1,15,2026-01-15
110,254,7,73,2026-01-15
111,468,4,23,2026-01-15
112,146,2,213,2026-01-15
113,412,7,37,2026-01-15
114,26,2,208,2026-01-15
115,162,2,543,2026-01-15
116,27,8,687,2026-01-15
117,290,5,210,2026-01-15
118,424,6,465,2026-01-15
119,272,7,116,2026-01-15
120,284,4,914,2026-01-15
121,189,10,802,2026-01-15
122,350,10,518,2026-01-15
123,480,1,775,2026-01-15
124,9,3,448,2026-01-15
125,110,3,571,2026-01-15
126,86,10,75,2026-01-15
127,180,1,584,2026-01-15
128,137,4,3,2026-01-15
129,77,5,24,2026-01-15
130,402,8,263,2026-01-15
131,32,4,572,2026-01-15
132,9,8,351,2026-01-15
133,323,2,104,2026-01-15
134,423,7,10,2026-01-15
135,411,8,834,2026-01-15
136,489,9,276,2026-01-15
137,347,2,118,2026-01-15
138,101,2,343,2026-01-15
139,480,9,298,2026-01-15
140,375,10,196,2026-01-15
141,331,9,237,2026-01-15
142,112,4,299,2026-01-15
143,54,2,235,2026-01-15
144,276,4,552,2026-01-15
145,243,7,899,2026-01-15
146,293,2,41,2026-01-15
147,307,9,195,2026-01-15
148,485,9,13,2026-01-15
149,85,8,924,2026-01-15
150,372,9,15,2026-01-15
151,475,7,245,2026-01-15
152,486,8,679,2026-01-15
153,34,2,735,2026-01-15
154,255,8,591,2026-01-15
155,275,3,130,2026-01-15
156,195,6,362,2026-01-15
157,333,1,301,2026-01-15
158,379,6,268,2026-01-15
159,51,10,773,2026-01-15
160,485,9,125,2026-01-15
161,252,8,127,2026-01-15
162,329,8,625,2026-01-15
163,282,1,84,2026-01-15
164,169,5,367,2026-01-15
165,256,7,508,2026-01-15
166,444,4,914,2026-01-15
167,460,3,905,2026-01-15
168,162,3,454,2026-01-15
169,52,3,301,2026-01-15
170,122,3,247,2026-01-15
171,320,8,220,2026-01-15
172,216,5,117,2026-01-15
173,132,4,266,2026-01-15
174,131,8,559,2026-01-15
175,82,1,582,2026-01-15
176,230,3,313,2026-01-15
177,391,9,340,2026-01-15
178,449,5,676,2026-01-15
179,360,7,149,2026-01-15
180,69,8,762,2026-01-15
181,218,3,310,2026-01-15
182,328,9,383,2026-01-15
183,377,1,391,2026-01-15
184,383,8,959,2026-01-15
185,370,10,577,2026-01-15
186,42,9,269,2026-01-15
187,19,5,747,2026-01-15
188,96,8,148,2026-01-15
189,351,1,135,2026-01-15
190,175,2,137,2026-01-15
191,462,10,267,2026-01-15
192,76,8,906,2026-01-15
193,77,2,697,2026-01-15
194,187,10,551,2026-01-15
