sale_id,product_id,warehouse_id,sale_date,quantity_sold,revenue
1,253,4,2025-09-27,25,22593.75
2,138,10,2026-09-25,3,1646.58
3,309,9,2026-12-10,11,5979.38
4,306,2,2026-08-30,24,4918.08
5,452,7,2025-09-18,9,8085.15
6,238,9,2026-07-12,8,1246.0
7,196,5,2026-04-22,5,3272.2
8,65,1,2025-11-24,20,2225.4
9,74,4,2025-07-16,22,13116.18
10,316,9,2025-09-26,16,13620.96
11,368,8,2025-01-20,25,2553.0
12,95,3,2025-10-18,4,658.2
13,305,9,2025-07-26,25,2657.0
14,162,1,2026-07-06,3,227.82
15,179,1,2025-04-23,7,2406.18
16,336,8,2025-05-24,5,1915.0
17,352,1,2025-08-08,6,467.76
18,128,4,2025-02-06,19,1540.14
19,355,2,2025-03-08,8,162.8
20,112,7,2025-04-10,3,2665.74
21,83,3,2026-10-11,12,2701.32
22,243,3,2025-04-27,8,1123.12
23,278,5,2026-11-13,10,271.3
24,474,4,2025-06-02,21,16410.03
25,250,5,2025-05-04,11,3534.74
26,147,6,2026-06-04,4,341.92
27,107,1,2025-11-22,4,261.44
28,150,3,2026-01-03,5,1767.15
29,243,3,2026-09-29,1,140.39
30,204,8,2026-06-24,14,2011.38
31,408,2,2025-09-07,7,6168.82
32,133,3,2025-05-18,17,13753.34
33,478,2,2026-06-14,8,4856.96
34,84,4,2026-06-03,11,128.04
35,474,10,2025-02-13,16,12502.88
36,337,5,2026-05-29,4,4388.08
37,295,10,2025-10-04,22,452.76
38,150,4,2026-07-28,6,2120.58
39,56,8,2025-12-21,6,7073.94
40,63,8,2026-02-08,15,9235.5
41,463,2,2025-12-28,18,15580.8
42,365,3,2026-09-07,5,659.25
43,57,9,2026-03-07,19,10465.96
44,265,9,2025-06-10,12,6434.88
45,281,5,2025-06-21,22,9228.78
46,245,4,2026-11-15,11,2699.62
47,32,1,2026-06-17,5,2465.35
48,220,5,2025-05-28,9,4177.53
49,298,3,2026-02-23,10,5994.9
50,186,10,2025-08-01,4,2384.4
51,442,1,2026-01-02,16,9499.04
52,302,3,2025-04-22,15,3773.1
53,58,10,2025-12-19,15,17283.15
54,10,6,2026-12-11,15,14967.15
55,9,1,2026-04-14,3,1549.32
56,190,10,2026-06-27,3,2892.09
57,111,9,2025-03-23,6,238.8
58,471,5,2026-04-21,1,610.29
59,156,10,2026-08-22,4,1351.64
60,459,5,2026-05-12,15,17938.05
61,91,6,2026-07-15,3,1753.53
62,276,7,2026-12-30,1,467.22
63,50,3,2026-03-22,19,5567.38
64,367,2,2025-12-10,18,8280.72
65,151,5,2025-12-29,2,600.36
66,126,5,2026-08-27,13,363.22
67,403,8,2025-07-12,10,1023.0
68,33,8,2025-12-14,5,2442.4
69,276,10,2026-06-05,9,4204.98
70,369,7,2025-11-03,13,2773.94
71,175,2,2025-06-05,14,2291.24
72,93,4,2025-02-15,15,10220.55
73,349,3,2025-06-02,23,15782.83
74,163,5,2025-07-27,21,16079.7
75,246,2,2026-09-20,2,667.98
76,472,7,2026-07-13,16,10603.68
77,353,6,2026-10-28,23,16065.04
78,377,4,2026-01-28,23,10962.49
79,43,4,2025-08-26,24,16223.76
80,376,1,2026-02-21,7,5680.85
81,413,9,2026-03-23,21,8477.7
82,317,10,2026-03-17,15,19111.5
83,261,6,2025-11-09,25,5416.0
84,387,7,2025-06-18,15,1577.85
85,192,1,2026-01-22,23,30665.44
86,98,7,2026-08-01,16,1984.64
87,164,1,2026-11-27,25,3833.75
88,368,9,2025-07-03,11,1123.32
89,20,5,2026-08-02,19,17442.57
90,154,4,2025-04-19,4,2001.16
91,487,6,2025-05-05,3,2469.66
92,72,8,2026-08-08,11,1398.87
93,430,10,2025-09-07,19,18664.08
94,275,10,2026-10-26,24,30695.52
95,85,8,2025-05-25,8,4216.4
96,185,3,2025-07-08,24,10990.8
97,173,8,2026-02-09,19,662.15
98,487,8,2025-09-23,16,13171.52
99,255,9,2026-01-02,2,1127.02
100,354,1,2025-04-03,1,375.52
101,263,9,2026-11-10,16,4958.4
102,99,5,2025-05-07,18,17632.8
103,451,8,2026-11-14,18,5128.38
104,187,7,2026-09-18,8,2419.36
105,242,10,2025-01-13,1,522.91
106,311,10,2025-07-12,11,1495.12
107,379,9,2026-06-23,12,8143.2
108,215,4,2026-09-03,7,6203.68
109,372,8,2025-08-05,8,5002.56
110,12,4,2025-01-07,23,9780.06
111,79,9,2025-08-01,16,8453.28
112,355,7,2025-12-19,6,122.1
113,305,6,2026-10-09,6,637.68
114,360,1,2025-03-27,11,9726.75
115,265,5,2026-04-27,16,8579.84
116,374,6,2026-10-03,2,36.52
117,65,1,2025-02-10,12,1335.24
118,187,10,2025-01-05,15,4536.3
119,321,2,2026-05-11,14,5904.64
120,444,10,2025-09-10,25,4260.0
121,80,8,2026-10-14,24,5034.96
122,374,4,2026-01-01,23,419.98
123,148,1,2026-09-16,21,9992.64
124,13,6,2026-08-23,24,11649.84
125,97,7,2025-10-31,13,7650.63
126,148,10,2026-07-31,4,1903.36
127,486,6,2026-01-26,5,1361.25
128,341,6,2025-12-29,6,431.1
129,420,10,2026-09-14,18,2691.36
130,370,9,2025-01-07,10,9564.7
131,282,7,2025-01-03,23,7876.58
132,162,4,2026-03-16,19,1442.86
133,234,2,2025-06-22,1,138.94
134,389,9,2025-06-04,9,3248.91
135,483,5,2025-04-04,7,8739.5
136,283,5,2025-08-05,20,6936.8
137,264,4,2026-01-10,12,16105.68
138,50,4,2025-10-06,14,4102.28
139,138,5,2026-12-01,4,2195.44
140,204,10,2025-08-04,18,2586.06
141,428,2,2026-01-04,2,577.44
142,313,7,2026-11-05,15,12759.9
143,105,10,2026-12-30,6,868.44
144,431,4,2026-02-02,15,1684.5
145,470,9,2025-10-28,14,7526.4
146,198,7,2026-09-08,4,3236.24
147,126,3,2026-12-04,10,279.4
148,424,10,2026-06-11,17,4307.97
149,257,2,2025-06-16,18,19634.94
150,133,2,2026-04-01,21,16989.42
151,177,8,2026-08-12,25,25228.75
152,99,10,2025-09-01,8,7836.8
153,27,8,2025-09-17,1,690.55
154,363,3,2025-08-27,5,2610.3
155,460,3,2026-12-30,5,4164.5
156,167,6,2025-08-24,20,9832.0
157,227,2,2026-07-18,16,7924.96
158,129,3,2025-08-21,4,3457.92
159,306,3,2025-05-12,7,1434.44
160,310,3,2026-06-28,1,623.49
161,463,10,2026-01-11,15,12984.0
